,ENRL_ORIG_YR2_RT,SAT_AVG
687,0.4581818182,950.0
690,0.4219190969,921.0
693,0.6594827586,1240.0
695,0.7708830549,1387.0
698,0.7158469945,1497.0
704,0.4107946027,890.0
705,0.6572695597,1178.0
708,0.267768595,841.0
710,0.6058917197,1258.0
711,0.5992414665,1118.0
715,0.4526748971,841.0
716,0.6093969144,1297.0
717,0.6222222222,1398.0
718,0.5359050445,1081.0
727,0.4266666667,1062.0
728,0.3048376408,930.0
730,0.4080645161,812.0
731,0.28125,940.0
739,PrivacySuppressed,970.0
740,0.4551127382,1175.0
743,0.3377483444,1026.0
747,0.4705882353,1138.0
749,0.3172413793,802.0
750,0.3258388101,1105.0
751,0.4714512292,947.0
752,0.414893617,1039.0
754,0.3633440514,1038.0
755,0.1502890173,1060.0
759,0.2654155496,884.0
760,0.1600649351,1153.0
762,0.4807366638,1096.0
767,0.4476021314,1102.0
768,0.5831727681,1212.0
771,0.6059723234,1272.0
788,0.2852882704,1010.0
808,0.4502369668,1332.0
817,0.3975236233,1143.0
818,0.3353090601,932.0
819,0.2264573991,1084.0
823,0.391521197,1061.0
835,0.5043936731,1199.0
848,0.4513633014,1168.0
849,0.2622478386,904.0
851,0.4633431085,1168.0
852,0.3728813559,955.0
859,0.4572347267,1075.0
862,0.2395833333,863.0
866,0.2319277108,908.0
868,0.1959334566,922.0
870,0.3712639539,1062.0
875,0.1729678639,897.0
881,0.4028629857,887.0
882,PrivacySuppressed,825.0
883,0.3323108384,997.0
887,0.3198294243,946.0
891,0.332038835,880.0
896,0.4821002387,1186.0
898,0.1699346405,957.0
899,0.2115384615,896.0
901,0.1880199667,940.0
904,0.3385321101,939.0
907,0.376146789,984.0
909,0.5601659751,1173.0
914,0.36,935.0
915,0.4332220367,1363.0
917,0.2849779087,830.0
919,0.6194251734,1352.0
920,0.2932061979,950.0
921,0.513413506,1126.0
923,0.4991816694,1094.0
924,0.4631578947,1060.0
925,0.5697543385,1247.0
926,0.1430232558,840.0
932,0.4208608122,1068.0
933,0.2789115646,995.0
938,0.385620915,1171.0
939,0.5528301887,990.0
943,0.3851851852,1131.0
944,0.2062937063,778.0
945,0.3550420168,1001.0
947,0.255952381,1013.0
949,0.4949299855,1078.0
950,0.3914495658,847.0
951,0.3325213155,954.0
954,0.5822306238,1024.0
955,0.3801396431,1123.0
958,0.3740740741,1000.0
959,0.3133640553,939.0
961,0.3650050184,1033.0
962,0.4385964912,982.0
963,0.4003496503,950.0
964,0.2973977695,980.0
966,0.3103953148,972.0
967,0.3600867679,967.0
968,0.4307585247,1087.0
970,0.3357817419,1005.0
979,0.30831643,891.0
982,0.3125,977.0
983,0.3725915875,1050.0
986,0.4491244676,1070.0
987,0.6123348018,1070.0
988,0.1970865467,936.0
993,0.4603174603,1079.0
995,0.5070286925,1036.0
1001,0.427184466,1065.0
1003,0.3115789474,1011.0
1008,0.412371134,1034.0
1011,0.4090480679,1163.0
1026,0.2863756614,892.0
1028,0.8003412969,1504.0
1037,0.3306930693,1030.0
1042,0.4943732007,1163.0
1046,0.4231896191,1010.0
1048,0.3937198068,1084.0
1049,0.2693877551,1053.0
1056,0.3150357995,1033.0
1061,0.0548523207,1019.0
1064,0.414427157,1092.0
1065,0.2618181818,1030.0
1067,0.4700451375,1303.0
1068,0.5517241379,1241.0
1070,0.4147157191,1024.0
