,GROUP_VALUE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,4Q_FG_PCT,4Q_FG3_PCT,4Q_FT_PCT,4Q_OREB,4Q_DREB,4Q_REB,4Q_AST,4Q_TOV,4Q_STL,4Q_BLK,PO_FG_PCT,PO_FG3_PCT,PO_FT_PCT,PO_OREB,PO_DREB,PO_REB,PO_AST,PO_TOV,PO_STL,PO_BLK,SC_FG_PCT,SC_FG3_PCT,SC_FT_PCT,SC_OREB,SC_DREB,SC_REB,SC_AST,SC_TOV,SC_STL,SC_BLK,PERSON_ID,DISPLAY_FIRST_LAST
2465,2015-16,0.456,0.241,0.827,0.6,4.3,4.9,4.4,2.1,1.0,0.3,0.44,0.286,0.789,0.2,1.5,1.7,1.5,0.7,0.3,0.2,0.365,0.214,0.778,1.3,4.3,5.7,4.5,2.8,1.3,1.0,0.421,0.143,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,202323,Evan Turner
2466,2016-17,0.426,0.263,0.825,0.6,3.2,3.8,3.2,1.5,0.8,0.4,0.467,0.25,0.81,0.1,1.0,1.1,0.9,0.4,0.2,0.1,0.364,0.333,0.75,0.8,5.0,5.8,3.8,1.8,1.8,0.5,0.364,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,202323,Evan Turner
2467,2015-16,0.498,0.214,0.727,1.1,4.4,5.5,0.7,1.1,0.4,1.4,0.563,0.25,0.758,0.3,1.0,1.3,0.2,0.2,0.0,0.3,0.465,0.0,0.667,2.3,4.1,6.4,0.4,1.7,0.3,3.3,0.353,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,1626167,Myles Turner
2468,2016-17,0.511,0.348,0.809,1.7,5.6,7.3,1.3,1.3,0.9,2.1,0.531,0.263,0.786,0.4,1.2,1.6,0.3,0.4,0.1,0.4,0.432,0.0,0.625,1.5,5.3,6.8,0.8,1.5,1.8,1.3,0.535,0.462,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.1,1626167,Myles Turner
2469,2004-05,0.444,0.408,0.753,0.2,0.8,1.0,1.9,1.0,0.5,0.1,0.414,0.377,0.821,0.1,0.3,0.4,0.9,0.4,0.2,0.1,0.359,0.27,0.857,0.2,0.6,0.8,1.0,1.0,0.4,0.0,,,,,,,,,,,2757,Beno Udrih
2470,2005-06,0.455,0.343,0.78,0.3,0.6,1.0,1.7,1.0,0.3,0.0,0.505,0.448,0.759,0.1,0.4,0.5,1.0,0.6,0.2,0.0,0.333,0.167,0.8,0.1,0.4,0.6,1.1,0.4,0.0,0.0,,,,,,,,,,,2757,Beno Udrih
2471,2006-07,0.369,0.287,0.883,0.2,1.0,1.1,1.7,0.8,0.4,0.0,0.419,0.35,1.0,0.1,0.6,0.6,0.8,0.4,0.2,0.0,0.0,0.0,1.0,0.1,0.0,0.1,0.1,0.4,0.0,0.0,,,,,,,,,,,2757,Beno Udrih
2472,2007-08,0.463,0.387,0.85,0.5,2.8,3.3,4.3,2.3,0.9,0.2,0.483,0.462,0.792,0.2,0.8,1.0,0.9,0.4,0.2,0.0,,,,,,,,,,,,,,,,,,,,,2757,Beno Udrih
2473,2008-09,0.461,0.31,0.82,0.6,2.4,3.0,4.7,2.2,1.1,0.2,0.504,0.591,0.725,0.2,0.6,0.9,1.0,0.5,0.2,0.0,,,,,,,,,,,,,,,,,,,,,2757,Beno Udrih
2474,2009-10,0.493,0.377,0.837,0.5,2.3,2.8,4.7,1.7,1.1,0.1,0.484,0.385,0.8,0.2,0.7,0.9,1.4,0.4,0.2,0.0,,,,,,,,,,,,,,,,,,,,,2757,Beno Udrih
2475,2010-11,0.5,0.357,0.864,0.5,2.8,3.4,4.9,1.8,1.2,0.1,0.465,0.244,0.847,0.1,0.7,0.8,1.3,0.3,0.3,0.0,,,,,,,,,,,,,,,,,,,,,2757,Beno Udrih
2476,2011-12,0.44,0.288,0.709,0.4,1.3,1.7,3.8,1.3,0.6,0.0,0.412,0.217,0.731,0.2,0.6,0.8,1.7,0.6,0.3,0.0,,,,,,,,,,,,,,,,,,,,,2757,Beno Udrih
2477,2012-13,0.4413333333333333,0.33133333333333337,0.7999999999999999,0.5,1.6333333333333335,2.1333333333333333,4.733333333333333,1.6666666666666667,0.6333333333333333,0.03333333333333333,0.467,0.377,0.6873333333333335,0.16666666666666666,0.6,0.7666666666666666,1.5,0.7333333333333334,0.3,0.0,,,,,,,,,,,,,,,,,,,,,2757,Beno Udrih
2478,2013-14,0.47300000000000003,0.6256666666666667,0.8329999999999999,0.16666666666666666,0.9666666666666667,1.1333333333333333,2.3000000000000003,1.0,0.4666666666666666,0.10000000000000002,0.49900000000000005,0.6643333333333333,0.8573333333333334,0.06666666666666667,0.3333333333333333,0.4333333333333333,1.0,0.39999999999999997,0.2333333333333333,0.03333333333333333,0.467,0.333,0.692,0.3,1.4,1.7,1.7,1.3,0.4,0.0,,,,,,,,,,,2757,Beno Udrih
2479,2014-15,0.487,0.268,0.853,0.3,1.6,1.8,2.8,1.1,0.6,0.1,0.406,0.27,0.931,0.1,0.5,0.5,0.8,0.4,0.2,0.0,0.425,0.25,0.833,0.4,1.6,2.0,2.1,0.4,0.5,0.0,0.41,0.286,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,2757,Beno Udrih
2480,2015-16,0.4343333333333333,0.34600000000000003,0.9273333333333333,0.2333333333333333,1.3333333333333333,1.5,2.7999999999999994,1.2666666666666666,0.3333333333333333,0.03333333333333333,0.3543333333333334,0.3726666666666667,0.8593333333333334,0.06666666666666667,0.26666666666666666,0.3,0.9666666666666668,0.43333333333333335,0.13333333333333333,0.06666666666666667,,,,,,,,,,,0.261,0.15,0.0,0.0,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.0,0.0,0.0,2757,Beno Udrih
2481,2016-17,0.467,0.344,0.941,0.2,1.3,1.5,3.4,0.9,0.3,0.0,0.393,0.25,0.933,0.0,0.4,0.4,1.4,0.3,0.1,0.0,,,,,,,,,,,0.429,0.25,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,2757,Beno Udrih
2482,2016-17,0.421,0.266,0.775,0.3,1.2,1.6,3.7,1.3,0.8,0.1,0.425,0.24,0.741,0.1,0.5,0.6,1.4,0.4,0.2,0.0,,,,,,,,,,,0.206,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,1627755,Tyler Ulis
2483,2016-17,0.421,0.333,0.714,0.9,1.6,2.4,1.0,0.3,0.2,0.4,0.556,0.2,0.714,0.5,0.6,1.1,0.9,0.3,0.1,0.5,,,,,,,,,,,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1627784,Jarrod Uthoff
2484,2012-13,0.557,0.0,0.789,2.0,4.0,6.0,0.7,1.5,0.3,1.3,0.622,0.0,0.857,0.6,0.9,1.5,0.1,0.6,0.0,0.3,,,,,,,,,,,,,,,,,,,,,202685,Jonas Valanciunas
2485,2013-14,0.531,0.0,0.762,2.8,6.0,8.8,0.7,1.7,0.3,0.9,0.535,0.0,0.672,0.9,1.4,2.3,0.1,0.3,0.1,0.2,0.633,0.0,0.636,2.7,7.0,9.7,0.3,2.7,0.0,1.0,,,,,,,,,,,202685,Jonas Valanciunas
