,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,PERSON_ID,SEASON_ID,AOP_FGA,AOP_FG_PCT,Bank_FGA,Bank_FG_PCT,DUNK_FGA,DUNK_FG_PCT,FADE_FGA,FADE_FG_PCT,FGR_FGA,FGR_FG_PCT,HOOK_FGA,HOOK_FG_PCT,JS_FGA,JS_FG_PCT,LAY_FGA,LAY_FG_PCT,TIP_FGA,TIP_FG_PCT
51,2208,2003-04,2,0.5,1,1.0,17,0.94099999999999995,3,0.66700000000000004,1,1.0,2,1.0,172,0.378,58,0.56899999999999995,5,0.20000000000000001
52,2198,2003-04,14,0.78600000000000003,6,0.66700000000000004,76,0.88200000000000001,9,1.0,3,1.0,53,0.71699999999999997,269,0.28599999999999998,187,0.56699999999999995,14,0.5
53,136,2003-04,4,0.75,7,0.85699999999999998,48,0.95799999999999996,6,0.5,3,0.33300000000000002,13,0.76900000000000002,470,0.42299999999999999,145,0.45500000000000002,34,0.52900000000000003
54,1594,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,84,0.39300000000000002,20,0.34999999999999998,0,0.0
55,977,2003-04,9,0.88900000000000001,26,0.73099999999999998,58,0.879,36,0.58299999999999996,15,0.66700000000000004,11,0.54500000000000004,787,0.35799999999999998,298,0.55400000000000005,11,0.27300000000000002
56,1761,2003-04,0,0.0,3,1.0,1,1.0,0,0.0,1,1.0,4,0.75,128,0.33600000000000002,39,0.46200000000000002,2,0.0
57,1934,2003-04,1,1.0,1,1.0,1,1.0,1,0.0,0,0.0,0,0.0,42,0.33300000000000002,11,0.36399999999999999,2,0.0
58,2406,2003-04,0,0.0,1,0.0,22,0.95499999999999996,5,0.80000000000000004,1,1.0,3,0.33300000000000002,420,0.314,174,0.46000000000000002,11,0.45500000000000002
59,348,2003-04,0,0.0,2,1.0,1,1.0,1,1.0,1,1.0,1,0.0,82,0.34100000000000003,36,0.61099999999999999,3,0.66700000000000004
60,2446,2003-04,0,0.0,1,0.0,6,0.83299999999999996,3,1.0,2,1.0,0,0.0,225,0.44900000000000001,17,0.64700000000000002,0,0.0
61,2560,2003-04,2,0.5,0,0.0,18,0.88900000000000001,0,0.0,4,0.25,3,0.66700000000000004,121,0.28100000000000003,49,0.51000000000000001,3,1.0
62,948,2003-04,11,0.81799999999999995,1,1.0,93,0.89200000000000002,9,0.55600000000000005,8,0.5,7,0.57099999999999995,296,0.36499999999999999,96,0.47899999999999998,51,0.373
63,922,2003-04,0,0.0,5,0.59999999999999998,26,0.92300000000000004,1,0.0,1,1.0,18,0.55600000000000005,203,0.40899999999999997,63,0.33300000000000002,6,0.0
64,2073,2003-04,0,0.0,13,0.61499999999999999,6,0.83299999999999996,9,0.66700000000000004,0,0.0,8,0.5,350,0.42299999999999999,95,0.66300000000000003,9,0.222
65,2679,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.38500000000000001,3,0.66700000000000004,0,0.0
66,1853,2003-04,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,29,0.24099999999999999,8,0.5,0,0.0
67,2466,2003-04,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,31,0.25800000000000001,3,0.66700000000000004,0,0.0
68,1713,2003-04,10,0.69999999999999996,17,0.64700000000000002,57,0.91200000000000003,137,0.42299999999999999,20,0.69999999999999996,28,0.57099999999999995,1136,0.372,200,0.47499999999999998,16,0.5
69,208,2003-04,0,0.0,10,0.90000000000000002,0,0.0,29,0.89700000000000002,8,1.0,0,0.0,1136,0.47199999999999998,125,0.59999999999999998,1,1.0
70,1509,2003-04,42,0.81000000000000005,5,0.80000000000000004,102,0.85299999999999998,0,0.0,0,0.0,22,0.22700000000000001,140,0.24299999999999999,85,0.35299999999999998,11,0.45500000000000002
71,2199,2003-04,2,0.5,1,1.0,19,0.84199999999999997,0,0.0,0,0.0,2,0.5,77,0.33800000000000002,42,0.38100000000000001,18,0.44400000000000001
72,384,2003-04,5,1.0,10,1.0,15,1.0,20,0.65000000000000002,3,1.0,14,0.64300000000000002,447,0.40899999999999997,93,0.71999999999999997,9,0.33300000000000002
73,57,2003-04,2,1.0,3,0.66700000000000004,58,0.94799999999999995,2,0.0,11,0.27300000000000002,4,0.5,474,0.36299999999999999,142,0.60599999999999998,3,0.33300000000000002
74,2049,2003-04,0,0.0,7,0.71399999999999997,0,0.0,9,0.88900000000000001,6,0.66700000000000004,1,0.0,353,0.34599999999999997,163,0.60099999999999998,1,0.0
75,2043,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.27800000000000002,5,0.40000000000000002,0,0.0
76,934,2003-04,1,1.0,2,1.0,16,0.93799999999999994,3,0.66700000000000004,2,1.0,2,0.5,180,0.32800000000000001,58,0.5,2,0.5
77,2044,2003-04,0,0.0,3,0.33300000000000002,7,1.0,1,1.0,0,0.0,15,0.46700000000000003,91,0.374,44,0.65900000000000003,8,0.25
78,2260,2003-04,1,1.0,2,1.0,1,0.0,3,0.33300000000000002,1,1.0,3,0.33300000000000002,135,0.378,136,0.625,20,0.45000000000000001
79,2215,2003-04,0,0.0,3,0.66700000000000004,24,0.91700000000000004,2,0.0,1,1.0,18,0.44400000000000001,189,0.33300000000000002,135,0.45900000000000002,19,0.47399999999999998
80,2567,2003-04,0,0.0,1,1.0,9,0.88900000000000001,0,0.0,0,0.0,3,1.0,109,0.41299999999999998,17,0.52900000000000003,4,0.75
81,2241,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,0.27300000000000002,5,0.20000000000000001,0,0.0
82,1544,2003-04,8,1.0,0,0.0,35,0.97099999999999997,2,1.0,3,0.66700000000000004,13,0.46200000000000002,329,0.377,86,0.51200000000000001,5,0.20000000000000001
83,2037,2003-04,0,0.0,2,1.0,20,1.0,15,0.73299999999999998,7,0.71399999999999997,6,0.66700000000000004,1126,0.36499999999999999,150,0.433,9,0.44400000000000001
84,1506,2003-04,0,0.0,1,1.0,16,0.81299999999999994,1,1.0,2,0.5,1,0.0,220,0.35499999999999998,64,0.40600000000000003,4,0.25
85,2201,2003-04,27,0.96299999999999997,5,0.80000000000000004,107,0.92500000000000004,0,0.0,6,0.5,144,0.63200000000000001,293,0.29699999999999999,304,0.47399999999999998,12,0.83299999999999996
86,688,2003-04,0,0.0,0,0.0,9,1.0,1,1.0,1,1.0,3,0.66700000000000004,155,0.32900000000000001,28,0.46400000000000002,0,0.0
87,2223,2003-04,57,0.91200000000000003,2,1.0,143,0.85999999999999999,6,0.83299999999999996,3,1.0,33,0.60599999999999998,175,0.371,127,0.39400000000000002,19,0.52600000000000002
88,956,2003-04,10,0.80000000000000004,16,0.625,120,0.94199999999999995,2,0.0,1,1.0,65,0.53800000000000003,184,0.26600000000000001,163,0.56399999999999995,126,0.49199999999999999
89,1498,2003-04,0,0.0,1,1.0,17,0.88200000000000001,4,0.5,2,1.0,3,0.66700000000000004,297,0.38700000000000001,80,0.67500000000000004,0,0.0
90,2605,2003-04,5,0.80000000000000004,1,1.0,24,0.95799999999999996,2,0.0,2,0.5,4,0.5,225,0.36899999999999999,144,0.59699999999999998,12,0.66700000000000004
91,213,2003-04,0,0.0,2,1.0,49,0.91800000000000004,13,0.46200000000000002,1,1.0,38,0.47399999999999998,403,0.35999999999999999,150,0.29999999999999999,23,0.56499999999999995
92,1884,2003-04,3,0.33300000000000002,13,0.76900000000000002,33,0.93899999999999995,67,0.49299999999999999,8,0.875,4,0.25,990,0.33300000000000002,364,0.5,3,1.0
93,905,2003-04,5,0.80000000000000004,0,0.0,47,0.95699999999999996,0,0.0,0,0.0,2,0.0,137,0.36499999999999999,78,0.38500000000000001,17,0.47099999999999997
94,1729,2003-04,19,0.89500000000000002,3,1.0,70,0.95699999999999996,27,0.74099999999999999,2,0.5,1,1.0,703,0.38800000000000001,168,0.58899999999999997,6,0.83299999999999996
95,692,2003-04,1,0.0,0,0.0,11,1.0,0,0.0,1,1.0,23,0.39100000000000001,46,0.28299999999999997,97,0.46400000000000002,18,0.77800000000000002
96,960,2003-04,0,0.0,1,0.0,0,0.0,1,1.0,1,1.0,1,1.0,138,0.31900000000000001,43,0.55800000000000005,1,0.0
97,1760,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.30399999999999999,4,0.5,1,0.0
98,2564,2003-04,1,1.0,0,0.0,22,0.95499999999999996,3,0.66700000000000004,0,0.0,3,0.33300000000000002,164,0.35399999999999998,106,0.5,18,0.38900000000000001
99,2424,2003-04,0,0.0,1,1.0,0,0.0,1,0.0,0,0.0,0,0.0,74,0.29699999999999999,24,0.625,0,0.0
100,2205,2003-04,0,0.0,3,1.0,8,0.75,1,0.0,0,0.0,11,0.182,103,0.36899999999999999,9,0.44400000000000001,17,0.47099999999999997
101,124,2003-04,0,0.0,10,0.69999999999999996,37,0.97299999999999998,2,1.0,25,0.47999999999999998,75,0.35999999999999999,316,0.34200000000000003,203,0.58599999999999997,25,0.52000000000000002
102,2413,2003-04,0,0.0,5,0.80000000000000004,2,1.0,7,0.85699999999999998,3,0.33300000000000002,1,0.0,524,0.34200000000000003,106,0.60399999999999998,1,1.0
103,1720,2003-04,0,0.0,1,0.0,6,0.83299999999999996,1,0.0,0,0.0,4,0.75,250,0.41999999999999998,45,0.48899999999999999,17,0.29399999999999998
104,2039,2003-04,1,0.0,7,0.71399999999999997,15,0.93300000000000005,1,0.0,1,1.0,0,0.0,269,0.32700000000000001,64,0.51600000000000001,3,0.33300000000000002
105,1724,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.125,2,1.0,0,0.0
106,1542,2003-04,0,0.0,3,0.66700000000000004,4,1.0,1,1.0,1,0.0,25,0.71999999999999997,289,0.34899999999999998,59,0.47499999999999998,7,0.42899999999999999
107,1495,2003-04,8,0.75,111,0.70299999999999996,86,0.93000000000000005,17,0.23499999999999999,7,0.85699999999999998,97,0.51500000000000001,707,0.376,276,0.64900000000000002,37,0.64900000000000002
108,2399,2003-04,2,0.5,7,1.0,15,1.0,10,0.5,5,1.0,10,0.20000000000000001,542,0.378,143,0.67100000000000004,7,0.14299999999999999
109,2648,2003-04,0,0.0,1,0.0,22,1.0,1,1.0,2,1.0,1,0.0,176,0.313,78,0.39700000000000002,3,0.33300000000000002
110,458,2003-04,0,0.0,4,0.75,0,0.0,4,0.5,2,1.0,0,0.0,354,0.35299999999999998,94,0.41499999999999998,1,0.0
111,1922,2003-04,1,1.0,1,1.0,26,0.84599999999999997,2,0.0,3,0.66700000000000004,19,0.47399999999999998,112,0.375,40,0.55000000000000004,7,0.28599999999999998
112,2408,2003-04,0,0.0,2,0.0,14,0.92900000000000005,1,1.0,0,0.0,37,0.48599999999999999,73,0.37,33,0.42399999999999999,3,0.33300000000000002
113,2501,2003-04,0,0.0,2,0.5,12,0.91700000000000004,2,0.5,0,0.0,4,0.25,48,0.14599999999999999,96,0.47899999999999998,5,0.40000000000000002
114,714,2003-04,7,0.85699999999999998,3,1.0,36,0.91700000000000004,33,0.57599999999999996,2,0.5,18,0.44400000000000001,1023,0.41699999999999998,82,0.53700000000000003,6,0.66700000000000004
115,965,2003-04,0,0.0,3,0.66700000000000004,1,1.0,3,0.33300000000000002,0,0.0,0,0.0,492,0.32500000000000001,80,0.51300000000000001,3,0.33300000000000002
116,2033,2003-04,0,0.0,1,0.0,21,0.95199999999999996,2,0.5,1,1.0,16,0.625,208,0.27400000000000002,96,0.46899999999999997,9,0.111
117,2228,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.5,3,0.66700000000000004,0,0.0
118,2551,2003-04,1,1.0,0,0.0,5,0.40000000000000002,5,0.59999999999999998,5,0.80000000000000004,0,0.0,237,0.32500000000000001,149,0.46300000000000002,2,0.5
