,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
114,2564,2013-14,0.521,0.5,0.184,0.542,0.138,0.55,0.152,0.545
115,203476,2013-14,0.771,0.531,0.159,0.306,0.044,0.6,0.026,0.5
116,201962,2013-14,0.416,0.405,0.247,0.404,0.111,0.19,0.174,0.455
117,201604,2013-14,0.606,0.443,0.167,0.512,0.102,0.44,0.114,0.357
118,201609,2013-14,0.242,0.494,0.1,0.45,0.081,0.551,0.304,0.527
119,203083,2013-14,0.798,0.653,0.137,0.514,0.046,0.514,0.02,0.4
120,201162,2013-14,0.805,0.444,0.13,0.31,0.051,0.696,0.013,0.333
121,1495,2013-14,0.693,0.512,0.163,0.456,0.067,0.45,0.078,0.4
122,2399,2013-14,0.692,0.427,0.173,0.474,0.096,0.351,0.037,0.429
123,201142,2013-14,0.372,0.516,0.158,0.502,0.157,0.436,0.193,0.528
124,201961,2013-14,0.659,0.47,0.143,0.389,0.079,0.3,0.111,0.429
125,101145,2013-14,0.217,0.471,0.163,0.452,0.162,0.459,0.251,0.419
126,202379,2013-14,0.831,0.531,0.136,0.467,0.024,0.75,0.009,0.667
127,2501,2013-14,0.653,0.449,0.207,0.452,0.08,0.5,0.053,0.75
128,201936,2013-14,0.202,0.467,0.133,0.403,0.139,0.411,0.343,0.454
129,202702,2013-14,0.63,0.589,0.22,0.472,0.093,0.474,0.05,0.463
130,200770,2013-14,0.359,0.485,0.058,0.429,0.088,0.344,0.243,0.33
131,203543,2013-14,0.789,0.474,0.082,0.333,0.068,0.2,0.054,0.375
132,202324,2013-14,0.681,0.556,0.188,0.486,0.072,0.444,0.059,0.341
133,101109,2013-14,0.353,0.421,0.087,0.321,0.097,0.458,0.222,0.422
134,202361,2013-14,0.35,0.619,0.25,0.2,0.15,0.333,0.183,0.182
135,965,2013-14,0.522,0.41,0.15,0.315,0.092,0.455,0.156,0.375
136,203095,2013-14,0.481,0.419,0.139,0.48,0.115,0.339,0.165,0.438
137,200751,2013-14,0.465,0.399,0.086,0.52,0.084,0.384,0.214,0.446
138,203479,2013-14,0.487,0.474,0.282,0.455,0.179,0.286,0.051,0.0
