PERSON_ID,SEASON,CT_W_PCT,CT_FG_PCT,CT_FGA,CT_FG3_PCT,CT_FG3A,CT_FT_PCT
734,1996-97,0.182,1,0.3,1,0.1,0.6
297,1996-97,0.679,0.474,0.7,0,0,0.571
904,1996-97,0.32,0.545,0.4,0.5,0.2,1
785,1996-97,0,0,0,0,0,0
49,1996-97,0.474,0.714,0.4,0,0,0.692
441,1996-97,0.125,0.111,1.1,0,0.4,0.429
145,1996-97,0.367,0.227,0.7,0.231,0.4,1
87,1996-97,0.606,0.333,0.3,0,0,0.773
982,1996-97,0.167,0.333,0.5,0,0,0
959,1996-97,0.222,0,0.2,0,0.1,0
1096,1996-97,0.75,0,0,0,0,0
271,1996-97,0.389,0.4,0.3,0.333,0.1,0.5
709,1996-97,0.3,0,0.2,0,0.1,0
979,1996-97,0.2,1,0.4,0,0,1
406,1996-97,0.704,0.571,1.3,0,0,0.4
891,1996-97,0.652,0.357,0.3,0,0,0.714
165,1996-97,0.676,0.591,1.8,0.5,0.1,0.725
731,1996-97,0.727,0,0.3,0,0,0
448,1996-97,0.541,0.4,0.3,0,0,0.536
77,1996-97,0.25,0.5,0.3,0,0,1
182,1996-97,0.522,0.357,0.6,0,0.1,0.857
1077,1996-97,0.833,1,0.2,0,0,0.5
123,1996-97,0.208,0.156,1.3,0.167,0.3,0.7
305,1996-97,0.5,0,0.5,0,0,1
685,1996-97,0.5,0,0,0,0,0
56,1996-97,0.567,0.447,1.3,0.286,0.2,0.667
324,1996-97,0.192,0.4,1.2,0.429,0.5,0.857
781,1996-97,0.389,0.8,0.3,0,0,0.333
64,1996-97,0.6,0.36,0.8,0.286,0.5,0.75
386,1996-97,0.381,0.4,0.7,0.286,0.3,0.786
445,1996-97,0.457,0.381,0.6,0.333,0.5,0.833
184,1996-97,0.4,0.294,0.6,0.167,0.2,0.733
15,1996-97,0.37,0.364,0.4,0.333,0.1,0.833
894,1996-97,0.545,0.304,1,0.25,0.4,1
291,1996-97,1,0,0,0,0,0
937,1996-97,0.679,0.333,0.8,0.222,0.3,0.727
178,1996-97,0.571,0.625,0.5,0,0,0.583
345,1996-97,0.632,0.667,0.3,0.5,0.1,0.933
958,1996-97,0.3,0.4,0.5,0,0,0.5
85,1996-97,0,0,0.5,0,0,1
899,1996-97,0.391,0.35,0.9,0.182,0.5,1
129,1996-97,0.333,0.286,1.2,0,0.1,1
689,1996-97,0.8,0,0,0,0,0
695,1996-97,0.706,0.5,0.2,0.5,0.1,0.917
735,1996-97,0.258,0.333,0.5,0,0,0.632
234,1996-97,0.4,0.154,0.9,0,0.2,1
690,1996-97,1,0,0,0,0,0
704,1996-97,0.143,0,0,0,0,0
779,1996-97,0.659,0.478,1,0.533,0.3,0.854
71,1996-97,0.563,0.125,1,0.167,0.4,0.571
782,1996-97,0.528,0.41,1.7,0.318,0.6,0.9
375,1996-97,0.472,0.438,0.9,0.286,0.2,0.893
914,1996-97,0.5,0.75,0.5,0,0,0.636
997,1996-97,0.167,0,0.2,0,0,1
361,1996-97,0.5,0.293,1,0.167,0.4,0.783
764,1996-97,0.5,0.5,2,0,0,1
299,1996-97,0.409,0.5,0.7,0.111,0.2,0.826
381,1996-97,0.579,0.417,0.6,0.333,0.5,0.833
716,1996-97,0.75,0,0,0,0,1
23,1996-97,0.684,0.111,0.5,0,0.1,1
691,1996-97,1,0,0,0,0,0
435,1996-97,0.292,0.438,0.7,0.2,0.2,0.5
915,1996-97,0.457,0.429,0.6,0.4,0.1,0.565
964,1996-97,0.3,0.4,0.5,0,0,0
399,1996-97,0.429,0,0,0,0,0
147,1996-97,0.5,0.111,0.8,0,0.3,0.5
990,1996-97,1,0,0,0,0,0
140,1996-97,0.583,0,0,0,0,0.5
32,1996-97,0.6,1,0.4,0,0,0.667
935,1996-97,0.667,0.409,0.6,0.375,0.4,0.682
717,1996-97,0.533,0.321,0.9,0.167,0.2,0.8
1089,1996-97,0.667,0,0,0,0,0
7,1996-97,1,0,0,0,0,0
368,1996-97,1,0,0,0,0,0
96,1996-97,0.591,0.5,0.8,0,0.1,0.727
2,1996-97,0.667,0.563,0.5,0.714,0.2,0.909
192,1996-97,0.542,0.235,0.7,0.4,0.4,1
1035,1996-97,0,0,0,0,0,0
907,1996-97,0.514,0.348,0.7,0.5,0.4,0.941
938,1996-97,0.645,0.571,0.7,0,0,0.72
216,1996-97,0.667,0.294,0.5,0.222,0.3,0.808
54,1996-97,0.667,0,0,0,0,0
1073,1996-97,0.5,1,0.5,0,0,0
293,1996-97,0.667,1,0.3,0,0,0
693,1996-97,0.308,0.333,1.2,0,0.1,0.789
181,1996-97,0.556,0.5,0.2,0.5,0.2,0.833
63,1996-97,0.516,0.2,0.2,0,0,0.625
120,1996-97,0.607,0.343,1.3,0.333,0.4,0.879
380,1996-97,0.75,0.438,0.8,0,0.1,0.429
22,1996-97,0.5,0.381,1.1,0,0.1,0.583
727,1996-97,0.333,0,0.3,0,0,0
280,1996-97,0.125,0.4,0.6,0,0,0.714
84,1996-97,0.37,0.263,1.4,0.2,0.4,0.793
711,1996-97,0.343,0.37,0.8,0.4,0.1,0.821
317,1996-97,0.714,0.529,0.4,0.455,0.3,0.871
1125,1996-97,1,0,0,0,0,0
179,1996-97,0.269,0.483,1.1,0.625,0.3,1
304,1996-97,0.658,0.387,0.8,0.455,0.3,0.871
757,1996-97,0.409,0.25,2,0.16,0.6,0.822
1065,1996-97,0.5,0.571,0.5,0,0.1,0.8
393,1996-97,0.452,0.368,1.4,0,0.2,0.744
400,1996-97,0.739,0.571,0.6,0,0,0.917
682,1996-97,0.4,0.267,0.5,0.286,0.2,0.667
1136,1996-97,0.222,0,0.2,0,0,0.5
440,1996-97,0.5,0,0,0,0,0
1063,1996-97,0,0,0,0,0,0
703,1996-97,0.667,0,0.2,0,0,0
240,1996-97,0.188,0.5,0.5,0.6,0.3,0.667
78,1996-97,0,0,1,0,0,0
901,1996-97,0.621,0.538,0.4,0,0,0.5
9,1996-97,1,0,0,0,0,0
47,1996-97,0.429,0.333,0.9,0,0,0
700,1996-97,0,0,0,0,0,0
718,1996-97,0.571,0.625,0.4,0,0,0.875
89,1996-97,0.632,0.343,0.9,0.353,0.4,0.696
710,1996-97,1,0,0,0,0,0
919,1996-97,0.459,0.531,0.9,0,0.1,0.6
1037,1996-97,0,0,0,0,0,0
952,1996-97,0.216,0.541,1,0.6,0.1,0.65
955,1996-97,0.25,0.5,0.5,0,0,0
1112,1996-97,1,0,0,0,0,0
961,1996-97,0.5,0,0,0,0,0
739,1996-97,0.536,0.577,0.9,0,0,0.591
777,1996-97,0.375,0.333,0.6,0.333,0.4,0
369,1996-97,0.733,0.143,0.2,0,0.1,0.75
320,1996-97,0.5,0,0.3,0,0.3,0
221,1996-97,0.367,0.333,0.7,0,0,0.429
185,1996-97,0.5,0.514,1.1,0.5,0.3,0.6
82,1996-97,0.667,0,0,0,0,1
133,1996-97,0.243,0.392,1.4,0.2,0.4,0.731
28,1996-97,0.586,0.75,0.1,0,0,0.833
770,1996-97,0.667,1,0.3,0,0,0
941,1996-97,0,0,0,0,0,0
1126,1996-97,0.5,0,0,0,0,0.5
43,1996-97,0.556,0.167,0.3,0.333,0.2,0.889
1122,1996-97,0.316,0.385,0.7,0.333,0.2,1
786,1996-97,0.583,0.318,0.9,0,0.3,0.733
1425,1996-97,0.167,0,0,0,0,0
433,1996-97,0.867,0,0.1,0,0,0.5
677,1996-97,0.161,0.357,0.5,0,0.1,0.75
73,1996-97,0.593,0.545,0.4,0,0,0.889
420,1996-97,0.353,0.636,0.6,0,0,0.4
966,1996-97,0,0,0,0,0,0
31,1996-97,0.5,0,0,0,0,0
42,1996-97,0.417,0.375,0.7,0,0,0.75
199,1996-97,0.4,0,0.2,0,0.2,0
281,1996-97,0.444,0.25,0.4,0,0,0.5
1005,1996-97,0.459,0.333,0.6,0.25,0.2,0.929
722,1996-97,0.5,0.412,0.7,0,0,0.5
788,1996-97,0.545,0.7,0.5,0,0,0.769
766,1996-97,0.5,1,0.2,1,0.2,0
112,1996-97,0.4,0.2,0.5,0,0.4,0.667
341,1996-97,0,0,0,0,0,0
116,1996-97,0.25,0,0.5,0,0.3,0
906,1996-97,0,0.333,1,0,0.3,0
953,1996-97,0.706,0.8,0.3,1,0.1,0.556
412,1996-97,0.5,0.4,0.5,0,0,0.5
678,1996-97,1,0,0,0,0,1
51,1997-98,0.167,0,0.7,0,0.2,0
1505,1997-98,0.273,0.333,0.3,0,0.1,0.333
949,1997-98,0.359,0.357,0.7,0,0.1,0.667
724,1997-98,0.25,0.556,0.8,0.429,0.6,0.6
951,1997-98,0.532,0.314,1.1,0.143,0.3,0.815
1507,1997-98,0.5,0.192,0.9,0,0.1,0.833
246,1997-98,0.5,0,0,0,0,0
72,1997-98,0.607,0.458,0.9,0.5,0.1,0.7
98,1997-98,0.579,0.348,1.2,0.6,0.3,0.625
1000,1997-98,0.4,0.667,0.2,0,0,0.4
1512,1997-98,0.571,0.5,0.6,0,0,0
21,1997-98,0.667,0,0,0,0,0
769,1997-98,0.636,0.167,0.5,0.333,0.3,1
353,1997-98,0.522,0.429,0.3,0,0.1,0.889
355,1997-98,0.727,0.333,0.3,0,0,0
173,1997-98,0.455,0,0.1,0,0,0
278,1997-98,0.75,0.6,0.2,0,0,0.7
1134,1997-98,0.409,0.231,0.6,0,0,0.75
452,1997-98,0.743,0.5,0.9,0,0,0.556
787,1997-98,0.458,0.333,1.1,0,0.2,0.786
344,1997-98,0.448,0.462,0.4,0.333,0.1,0.765
699,1997-98,0.353,0.333,0.4,0.25,0.2,1
1003,1997-98,0,0,0,0,0,0
468,1997-98,0.75,0,0,0,0,0
1499,1997-98,0.143,0.5,0.9,0,0.1,1
1133,1997-98,0.75,0.75,0.5,0,0,1
712,1997-98,0,0,1,0,0,0
128,1997-98,0.333,0.5,0.3,0,0.2,0.5
696,1997-98,0.5,0.25,0.7,0.333,0.2,1
1497,1997-98,0.618,0.324,1.1,0.2,0.6,0.826
302,1997-98,0.581,0.351,1.2,0.231,0.4,0.455
916,1997-98,1,0,0.4,0,0,1
177,1997-98,0.4,0.222,0.5,0,0.1,1
1477,1997-98,0.5,0,0.1,0,0.1,0.667
194,1997-98,0.2,0,0,0,0,0
762,1997-98,0.24,0.409,0.9,0,0,0.4
